locality,n_specimens,n_genera,province,lat_median,lon_median,elev_median
"7.6 km 122º Kianjavato, Forêt Classée Vatovavy",15,6,Fianarantsoa,-21.4,47.94,175
"Réserve Spéciale d'Ambohitantely, Forêt d Ambohitantely, Jardin Botanique, 24.1km 59° NE d Ankazobe",15,6,Antananarivo,-18.17139,47.28182,1620
"38 km S Ambalavao, Rés. Andringitra",15,5,Fianarantsoa,-22.2,46.96667,1680
Makay Mts.,15,5,Toliara,-21.29961,45.16412,570
"Réserve Spéciale Kalambatritra, Ampanihy",15,5,Fianarantsoa,-23.4635,46.4631,1270
[Ivondro p. Tamatavé]; Antenina; Toamasina Rural,15,5,Toamasina,-18.23333,49.36667,14
"11 km NW Enakara, Rés. Andohahela",15,4,Toliara,-24.56667,46.83333,800
"Parc National de Kirindy Mite, 16.3 km 127° SE Belo sur Mer",15,2,Toliara,-20.79528,44.147,80
"Tsinjoarivo forest, Mahatsinjo",15,1,Antananarivo,-19.67962,47.77234,1539
"43 km S Ambalavao, Rés. Andringitra",14,5,Fianarantsoa,-22.23333,47.0,825
"Forêt de Binara, 7.5 km 230° SW Daraina",14,5,Antsiranana,-13.255,49.61667,375
"Parc National Tsingy de Bemaraha, 3.4 km 93° E Bekopaka, Tombeau Vazimba",14,5,Mahajanga,-19.14194,44.828,50
[Morondava],14,5,Toliara,-20.29042,44.3,6
Analamay,14,4,Toamasina,-18.80623,48.33707,1068
"Reserve Betampona, Camp Vohitsivalana, 37.1 km 338° Toamasina",14,4,Toamasina,-17.88667,49.2025,520
[Centr Madag]; Ambatomanjaka; Miarinarivo,13,9,Antananarivo,-18.76695,46.86911,1343
"Forêt de Bekaraoka, 6.8km 60° ENE Daraina",13,8,Antsiranana,-13.16667,49.71,150
